# 311 - Emyn Lum
# County Title
title = c_south_north_west_mirkwood

# Settlements
max_settlements = 5

b_emyn_lum = castle
b_aelin_galenas = castle
b_ened_govannen = city
#b_ened_niphred = city
#b_aglonngael = castle

# Misc
culture = culture_wilderness
religion = religion_wilderness
terrain = forest
4222.1.1 = {
culture = culture_silvan
religion = religion_moriquendi
}
6595.1.1 = { culture = culture_spider religion = religion_spider }

8220.1.1 = {
        b_emyn_lum = ca_silvan_archers_1
		b_emyn_lum = ca_silvanelite_1
		b_emyn_lum = ca_silvan_stable_1
		b_emyn_lum = ca_Ewalltower_1
		b_emyn_lum = ca_Ewall_1
		b_emyn_lum = ca_Ekeep_1
		b_emyn_lum = ca_telain1
		b_emyn_lum = ca_elven_forge1
		b_emyn_lum = ca_healing
		b_emyn_lum = ca_Etraining_grounds_1
		b_emyn_lum = ca_Etown_1
		
		b_aelin_galenas = ct_silvan_archers_1
		b_aelin_galenas = ct_silvanelite_1
		b_aelin_galenas = ct_silvan_stable_1
		b_aelin_galenas = ct_Ewall_1
		b_aelin_galenas = ct_Ewalltower_1
		b_aelin_galenas = ct_elfcity_center_1
		b_aelin_galenas = ct_elvenherborist_1
		b_aelin_galenas = ct_Emarketplace_1
		b_aelin_galenas = ct_telain1
		
		b_ened_govannen = ct_silvan_archers_1
		b_ened_govannen = ct_silvanelite_1
		b_ened_govannen = ct_silvan_stable_1
		b_ened_govannen = ct_Ewall_1
		b_ened_govannen = ct_Ewalltower_1
		b_ened_govannen = ct_elfcity_center_1
		b_ened_govannen = ct_elvenherborist_1
		b_ened_govannen = ct_Emarketplace_1
		b_ened_govannen = ct_telain1
}

9343.1.1 = { culture = culture_spider religion = religion_spider }
11362.4.6 = { culture = culture_silvan religion = religion_moriquendi 
b_emyn_lum = ca_silvan_archers_1
		b_emyn_lum = ca_silvanelite_1
		b_emyn_lum = ca_silvan_stable_1
		b_emyn_lum = ca_Ewalltower_1
		b_emyn_lum = ca_Ewall_1
		b_emyn_lum = ca_Ekeep_1
		b_emyn_lum = ca_telain1
		b_emyn_lum = ca_elven_forge1
		b_emyn_lum = ca_healing
		b_emyn_lum = ca_Etraining_grounds_1
		b_emyn_lum = ca_Etown_1
		
		b_aelin_galenas = ct_silvan_archers_1
		b_aelin_galenas = ct_silvanelite_1
		b_aelin_galenas = ct_silvan_stable_1
		b_aelin_galenas = ct_Ewall_1
		b_aelin_galenas = ct_Ewalltower_1
		b_aelin_galenas = ct_elfcity_center_1
		b_aelin_galenas = ct_elvenherborist_1
		b_aelin_galenas = ct_Emarketplace_1
		b_aelin_galenas = ct_telain1
		
		b_ened_govannen = ct_silvan_archers_1
		b_ened_govannen = ct_silvanelite_1
		b_ened_govannen = ct_silvan_stable_1
		b_ened_govannen = ct_Ewall_1
		b_ened_govannen = ct_Ewalltower_1
		b_ened_govannen = ct_elfcity_center_1
		b_ened_govannen = ct_elvenherborist_1
		b_ened_govannen = ct_Emarketplace_1
		b_ened_govannen = ct_telain1
}
