#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_Dwall_1;Stone Dike;Muret de Pierre;;;;;x
ca_Dwall_2;Stone Walls;Murs de Pierre;;;;;x
ca_Dwall_3;Strong Stone Walls;Murs de Pierre renforcés;;;;;x
ca_Dwall_4;Dwarvish Walls;Murs Nains;;;;;x
ca_Dwall_5;Runic Walls;Murs Runiques;;;;;x
ca_Dwall_1_desc;This Stone Dike will allow a weak protection for this holding.;Ce muret en pierre offrira une faible protection à ce territoire;;;;;x
ca_Dwall_2_desc;These Stone Walls are strong enough to resist a small invasion.;Ces murs de pierre seront assez résistants pour protéger le territoire d'une faible invasion.;;;;;x
ca_Dwall_3_desc;These Renforced Stone Walls will give an higher protection for your citadel.;Ces Murs de Pierre renforcés apportent une protection non négligeable à votre forteresse.;;;;;x
ca_Dwall_4_desc;The Dwarven walls are known to offer the best protection in Middle Earth.;Les murs des Nains offrent la meilleure protection de la Terre du Milieu.;;;;;x
ca_Dwall_5_desc;The Strong Dwarven walls are known to offer the best protection in Middle Earth. The Doors are protected by ancient runes, and the walls are ones of the strongest of Middle-Earth. Only a great strength will be able to break them.;Les murs des Nains offrent la meilleure protection de la Terre du Milieu. Les Portes de ces murs sont couvertes de runes anciennes, et les murs eux-mêmes sont parmi les plus résistants de la Terre-du-Milieu. Il faudra une grande force pour les mettre à bas.;;;;;x
ca_Dwatchtower_1;Fortified Doors;Portes Fortifiées;;;;;x
ca_Dwatchtower_2;Bronze Doors;Portes en Bronze;;;;;x
ca_Dwatchtower_3;Iron Doors;Portes en Fer;;;;;x
ca_Dwatchtower_4;Stone Doors;Portes en Pierre;;;;;x
ca_Dwatchtower_5;Dwarven Doors;Portes Naines;;;;;x
ca_Dwatchtower_6;Runic Doors;Portes Runiques;;;;;x
ca_Dwatchtower_1_desc;These small doors will allow your men to protect this castle. A Small garrison is posted behind the doors, to guard them.;Ces petites portes permettront à vos hommes de protéger la forteresse. Une petite garnison est installée derrière les portes afin de les protéger.;;;;;x
ca_Dwatchtower_2_desc;These bronze doors, fairly simple, allow better protection of the citadel. A small garrison guard this door.;Ces Portes en Bronze, assez simple, apportent une protection supplémentaire à la citadelle. Une petite garnison garde cette porte.;;;;;x
ca_Dwatchtower_3_desc;These Iron Doors provides significant protection to the fortress. A garrison guard the doors.;Ces Portes en Fer, lourdes, apportent une protection importante à la forteresse. Une garnison garde les portes.;;;;;x
ca_Dwatchtower_4_desc;These Stone Doors provide significant protection to the city. They were made with the ancient knowledge of the dwarves. An important garrison guard these doors.;Ces lourdes Portes en pierre apportent une protection importante à la cité. Elles ont été fabriquées avec l'antique savoir des nains. Une importante garnison protège ces portes.;;;;;x
ca_Dwatchtower_5_desc;These dwarven doors were made with all the skill of the best dwarven craftsmen. They're powerful and can withstand most of the siege weapons. An huge garrison is posted near to the doors, to guard them.;Ces Portes Naines ont été réalisées avec toute l'habileté des meilleurs artisans nains. Elles sont puissantes, et peuvent résister à la plupart des armes de siège. Une grande garnison est postée près de ces portes afin de les protéger.;;;;;x
ca_Dwatchtower_6_desc;These doors were made with all the knowledge of the dwarves of yore. Protected by powerful runes, they are invisible to enemy eyes. No weapon can break them, and only powerful creatures can destroy them. An huge garrison is posted near to the doors, to guard them.;Ces Portes ont été réalisées grâce au savoir des nains de jadis. Protégées par de puissantes runes, elles sont invisibles aux yeux ennemis. Aucune arme ne peut les briser, et seules de puissantes créatures peuvent les détruire. Une grande garnison est postée près de ces portes afin de les protéger.;;;;;x
ca_Dkeep_1;Small Barracks;Petites Casernes;;;;;x
ca_Dkeep_2;Barracks;Casernes;;;;;x
ca_Dkeep_3;Improved Barracks;Casernes Améliorées;;;;;x
ca_Dkeep_4;Large Barracks;Grandes Casernes;;;;;x
ca_Dkeep_5;Fortified Barracks;Casernes Fortifiées;;;;;x
ca_Dkeep_6;Huge Barracks;Casernes Gigantesques;;;;;x
ca_Dkeep_1_desc;The barracks allow more troops to be stationned in the castle.;Les casernes permettent de stationner plus de troupe dans le chateau;;;;;x
ca_Dmilitia_barracks_1;Militia Outpost;Avant-Poste de Miliciens;;;;;x
ca_Dmilitia_barracks_2;Militia Small Barracks;Petite Caserne de Miliciens;;;;;x
ca_Dmilitia_barracks_3;Militia Barracks;Caserne de Miliciens;;;;;x
ca_Dmilitia_barracks_4;Militia Large Barracks;Grande Caserne de Miliciens;;;;;x
ca_Dmilitia_barracks_5;Militia Fortified Barracks;Caserne Fortifiée des Miliciens;;;;;x
ca_Dmilitia_barracks_6;Militia Huge Barracks;Gigantesque Caserne des Miliciens;;;;;x
ca_Dmilitia_barracks_1_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Dmilitia_barracks_2_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Dmilitia_barracks_3_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Dmilitia_barracks_4_desc;The militia trains light troops for war.;La milice forme des troupes lègères pour la guerre.;;;;;x
ca_Dtraining_grounds_1;Small Training Galleries;Petites Galeries d'Entraînement;;;;;x
ca_Dtraining_grounds_2;Training Galleries;Galeries d'Entraînement;;;;;x
