#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
bribed_by_noble_timer;;;;;;;;;;x
fabricated_claim_timer;;;;;;;;;;x
spouse_active_timer;;;;;;;;;;x
suitable_father_timer;;;;;;;;;;x
petition_release_prisoner_timer;;;;;;;;;;x
laughing_timer;;;;;;;;;;x
missing_child_timer;;;;;;;;;;x
voice_in_darkness_timer;;;;;;;;;;x
confessor_and_occultist_timer;;;;;;;;;;x
unchristian_timer;;;;;;;;;;x
suspected_of_incest_timer;;;;;;;;;;x
dabble_dark_arts_timer;;;;;;;;;;x
taken_by_rebels_timer;;;;;;;;;;x
compliment_food_timer;;;;;;;;;;x
complain_food_timer;;;;;;;;;;x
summer_fair_timer;;;;;;;;;;x
large_feast_timer;;;;;;;;;;x
poetry_timer;;;;;;;;;;x
used_poetry_timer;;;;;;;;;;x
lustful_affair_timer;;;;;;;;;;x
blissful_timer;;;;;;;;;;x
friend_at_war_timer;;;;;;;;;;x
heretic_friend_timer;;;;;;;;;;x
friend_diplomacy_timer;;;;;;;;;;x
friend_martial_timer;;;;;;;;;;x
friend_stewardship_timer;;;;;;;;;;x
friend_intrigue_timer;;;;;;;;;;x
friend_learning_timer;;;;;;;;;;x
greedy_steward_timer;;;;;;;;;;x
recalculate_rivalry_modifier;;;;;;;;;;x
religious_rival_timer;;;;;;;;;;x
hunting_rival_timer;;;;;;;;;;x
revenge_seeker_timer;;;;;;;;;;x
killed_father_timer;;;;;;;;;;x
nomuslim_timer;;;;;;;;;;x
qadi_divorce_timer;;;;;;;;;;x
suggested_qadi_timer;;;;;;;;;;x
suggested_new_qadi_timer;;;;;;;;;;x
suggested_calligrapher_timer;;;;;;;;;;x
mosque_calligrapher_timer;;;;;;;;;;x
calligrapher_swindle_timer;;;;;;;;;;x
musician_song_timer;;;;;;;;;;x
poet_verse_timer;;;;;;;;;;x
cupbearer_poison_timer;;;;;;;;;;x
architect_improvement_timer;;;;;;;;;;x
food_taster_poison_timer;;;;;;;;;;x
lustful_chancellor_timer;;;;;;;;;;x
famous_muslim_timer;;;;;;;;;;x
muslim_famous_timer;;;;;;;;;;x
fatwa_timer;;;;;;;;;;x
hunt_timer;;;;;;;;;;x
faction_lower_TO_ultimatum_timer;;;;;;;;;;x
went_out_of_hiding_timer;;;;;;;;;;x
suspected_murder_plot;;;;;;;;;;x
demon_child_non_pagan;;;;;;;;;;x
bad_rel_head;;;;;;;;;;x
promised_to_clear_out_heresy;;;;;;;;;;x
launched_subjugation;;;;;;;;;;x
launched_prepared_invasion;;;;;;;;;;x
planning_duchy_adventure;;;;;;;;;;x
planning_claimant_adventure;;;;;;;;;;x
faction_antiking_ultimatum_timer;;;;;;;;;;x
held_nerge_timer;;;;;;;;;;x
held_blot_timer;;;;;;;;;;x
held_ukon_juhla_timer;;;;;;;;;;x
held_uzgavenes_timer;;;;;;;;;;x
held_jarilo_timer;;;;;;;;;;x
held_passover_timer;;;;;;;;;;x
expelled_jews_timer;;;;;;;;;;x
faction_succ_seniority_ultimatum_timer;;;;;;;;;;x
faction_succ_primogeniture_ultimatum_timer;;;;;;;;;;x
faction_succ_feudal_elective_ultimatum_timer;;;;;;;;;;x
faction_succ_gavelkind_ultimatum_timer;;;;;;;;;;x
faction_lower_CA_ultimatum_timer;;;;;;;;;;x
