#CODE;ENGLISH;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC6350;As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.;J'étais allongé dans mon lit au milieu de la nuit lorsque les grognements et les sifflements de mon chat préféré m'ont réveillé. La chambre était animée par le bruit de grattements et de trottinements provenant de l'intérieur des murs. J'ai bondi hors du lit mais les bruits se sont tus. Mes recherches subséquentes n'ont rien révélé de plus que des murs de pierre colmatés. ;Als ich nachts in meinem Bett lag, erwachte ich von dem Fauchen und Knurren meiner Lieblingskatze. Das Schlafzimmer war erfüllt von Kratzgeräuschen, die direkt aus den Wänden zu kommen schienen. Ich sprang aus dem Bett, doch die Geräusche verschwanden abrupt und eine gründliche Untersuchung des Raums und der Steinwände brachte kein Ergebnis.;;Estaba tumbado en mi cama por la noche cuando de repente me despertó el silbido y gruñido de mi gato favorito. El dormitorio estaba vivo con ruidos chirriantes provenientes de las mismísimas paredes. Salté de la cama, pero los ruidos desaparecieron de repente y la subsecuente investigación de la habitación no reveló nada más que paredes de piedra con manchas de humedad.;;;;;;;;;x
EVTOPTA6350;Could there be rats in the walls?;Y aurait-il des rats dans le mur ?;Könnten sich Ratten in den Wänden befinden?;;¿Podría haber ratas en las paredes?;;;;;;;;;x
EVTOPTB6350;Just a dream, nothing more;Rien de plus qu'un rêve;Nur ein Traum, nichts weiter;;Simplemente un sueño, nada más;;;;;;;;;x
EVTDESC6351;The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange... shadow emanating from the well. I peered inside and saw a darkness like none I had ever seen before. It was as light, piercing my eyes, in the shape of a great, clawing web..;Le serviteur que j'ai envoyé chercher de l'eau n'est jamais revenu et lorsque je suis allé voir ce qui se passait, j'ai remarqué une étrange lueur émanant du puits. En regardant à l'intérieur, j'ai vu une couleur comme jamais je n'en avais vu auparavant. C'était comme de la fumée, froide et humide. Pourtant elle a brûlé ma peau au contact.;Der Bedienstete, den ich zum Wasser holen geschickt hatte, kehrte nie zurück und als ich nachschauen ging, bemerkte ich einen merkwürdigen Lichtschein im Brunnen. Ich wagte einen Blick hinein und sah eine mir gänzlich unbekannte Farbe, ähnlich wie Rauch, kalt und nass, und dennoch verbrannte sie die Haut bei Berührung.;;El sirviente que había enviado a buscar agua no volvía, y cuando fui a investigar noté una extraña luz que emanaba del pozo. Eché un vistazo dentro y vi un color como nunca antes había visto. Era como humo, frío y húmedo pero que quemaba mi piel al tocarla.;;;;;;;;;x
EVTOPTA6351;This is unnatural!;Cette couleur n'est pas de ce monde !;Diese Farbe ist nicht von dieser Welt!;;¡Ese color no es de esta tierra!;;;;;;;;;x
EVTOPTB6351;The well must have gone bad;L'eau de ce puits doit être pourrie;Das Brunnenwasser muss schlecht geworden sein;;El pozo debe de haberse estropeado;;;;;;;;;x
EVTDESC6352;I had repeatedly questioned my servant about the locked cellars beneath the hall but it wasn't until today that I found the key, hidden inside a rotting chest in a hole beneath the walls. As the cellar's passageways turned into what appeared to be a natural cave formation, what sounded like a female voice, hungry and demanding, cried from somewhere deep within the cave: '[Root.GetFirstName]...'.;J'avais maintes fois questionné mon serviteur à propos de ce mausolée verrouillé situé sous le château mais ce n'est qu'aujourd'hui que j'ai trouvé la clé, cachée dans un coffre désagrégé qui se trouvait dans la plus vieille tour du château. Dans les couloirs poussiéreux du tombeau, j'ai trouvé un cercueil de pierre vide portant l'inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;Ich fragte meinen Diener wiederholt nach dem verschlossenen Mausoleum unter dem Schloss, doch ich fand erst heute den Schlüssel in einer verrotteten Truhe im ältesten Schlossturm. In den staubigen Durchgängen des Gewölbes fand ich einen leeren Steinsarg mit der Inschrift '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;;Había preguntado repetidamente a mi sirviente acerca del mausoleo cerrado detrás del castillo, pero no fue hasta hoy que encontré la llave, escondida dentro de un baúl podrido en la torre más vieja del castillo. Dentro del polvoriento pasadizo de la tumba encontré un ataúd de piedra vacío con la inscripción '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;;;;;;;;;x
EVTOPTA6352;Do... you know me?;Ce cercueil semble propice à un sommeil confortable ;Dieser Sarg sieht komfortabel genug aus, um darin zu schlafen;;Este ataúd parece cómodo para dormir en él.;;;;;;;;;x
EVTOPTB6352;I need to get out of here! Brick off the caves!;C'était morbide, ça... fermons ce tombeau !;Wie morbide… versiegelt das Gewölbe!;;Bien, eso era macabro… ¡Sella la tumba!;;;;;;;;;x
EVTDESC6353;A local Avar and his wife who were known for their superstitious beliefs were found dead in their home this morning, their bones picked clean of meat. My loremaster tells me that the distant echoes of Lammoth were much louder than usual this morning...;Un vieux paysan et sa femme connus pour leur cruauté envers les chats ont été retrouvés morts ce matin à leur domicile, leurs os complètement nettoyés. Mon intendant me dit que les citadins locaux ont vu leurs chats disparaître la veille mais qu'ils ont tous resurgi aujourd'hui, heureux et dodus...;Ein alter Farmer und seine Frau, beide bekannt für ihre Grausamkeit gegenüber Katzen, wurden heute morgen tot in ihrer Hütte aufgefunden, bis auf die Knochen abgenagt. Laut meinem Haushofmeister verschwanden die Katzen der lokalen Bevölkerung einen Tag vorher, doch heute kehrten sie alle zurück und sahen sehr satt und glücklich aus…;;Un viejo granjero y su mujer, conocidos por su crueldad con los gatos, fueron encontrados muertos en su casa esta mañana sin nada de carne en sus huesos, solamente el esqueleto. Mi asistente dice que los gatos de los habitantes locales habían desaparecido el día anterior, pero todos ellos regresaron hoy, gordos y felices…;;;;;;;;;x
EVTOPTA6353;Search their tomes for answers.;Passez une loi pour bannir l'abattage de chats;Verabschiedet ein Gesetz gegen das Töten von Katzen;;Aprobar una ley que prohíbe la matanza de los gatos;;;;;;;;;x
EVTOPTB6353;It must have been the wolves.;Une coïncidence, tout simplement;Ein Zufall, mehr nicht;;Una coincidencia, nada más;;;;;;;;;x
EVTTOOLTIP6354;Somewhere, a Queen stirs...;Quelque part, un rêveur s'agite...;Und irgendwo regt sich ein Träumer im Schlaf…;;En algún lugar, un soñador despierta…;;;;;;;;;x
