#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_MOwall_1;Wooden Palisade;Palisade en bois;;;;;x
ct_MOwall_2;Low Stone Wall;Muret de pierre;;;;;x  
ct_MOwall_3;Stone Wall;Hauts murs;;;;;x  
ct_MOwall_4;Large Stone Wall;Murs larges;;;;;x  
ct_MOwall_5;Massive Stone Wall;Murs massifs;;;;;x
ct_MOwall_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent la cité sont un obstacle supplémentaire à franchir pour les attaquants.;Dieser seichte Burggraben, der die Stadt umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;x
ct_MOwall_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de la cité. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Torhaus verteidigt den Eingang der Stadt und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;Esta puerta defiende la entrada de la ciudad y permite controlar más fácilmente quién entra y quién sale. ;;;;;x
ct_MOwall_3_desc;These stone walls surround the city and must be overcome by any attacker.;Ces murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Stadt und müssen von jedem Angreifer überwunden werden. ;Estas murallas de piedra rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_MOwall_4_desc;These large walls surround the city and must be overcome by any attacker.;Ces grands murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese großen Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas grandes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_MOwall_5_desc;These Massive Stone Wall surround the city and must be overcome by any attacker.;Ces massifs murs de pierre entourent la cité et doivent être surmontés par tout attaquant.;Diese massiven Mauern umgeben die Stadt und müssen erst von jedem Angreifer überwunden werden. ;Estas enormes murallas rodean la ciudad y deben ser superadas por cualquier atacante.;;;;;x
ct_MOwatchtower_1;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_2;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_3;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_4;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_5;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_6;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;x
ct_MOorctraining_grounds_1_desc;Orcs are organized into proper fighting units here;Les Orques sont organisés en unités de combat ici.;;;;;;;x
ct_MOorctraining_grounds_1;Orc Training Grounds;Petit camp de miliciens orques;;;;;;;x
ct_MOorctraining_grounds_2;Orc Training Grounds;Camp de miliciens orques;;;;;;;x
ct_MOorctraining_grounds_3;Orc Training Grounds;Grand camp de miliciens orques;;;;;;;x
ct_MOorctraining_grounds_4;Orc Training Grounds;Petit camp d'entrainement orque;;;;;;;x
ct_MOorctraining_grounds_5;Orc Training Grounds;Camp d'entrainement orque moyen;;;;;;;x
ct_MOorctraining_grounds_6;Orc Training Grounds;Grand camp d'entrainement orque;;;;;;;x
ct_MOorcbarracks_1_desc;Living quarters for orc warriors;Barraquements pour les soldats orques;;;;;;;x
ct_MOorcbarracks_1;Orc Barracks;Petite caserne orque;;;;;;;x
ct_MOorcbarracks_2;Orc Barracks;Caserne orque moyenne;;;;;;;x
ct_MOorcbarracks_3;Orc Barracks;Grande caserne orque;;;;;;;x
ct_MOorcbarracks_4;Orc Barracks;Très Grande caserne orque;;;;;;;x
ct_MOorcbarracks_5;Orc Barracks;Immense caserne orque;;;;;;;x
ct_MOorcbarracks_6;Orc Barracks;Gigantesque caserrne d'orques;;;;;;;x
ct_MOorcguard_1_desc;These orcs try to keep some semblance of order;Ces orques sont les mieux organisés, et protégent le reste des troupes.;;;;;;;x
ct_MOorcguard_1;Orc Guards;Petit poste de garde d'orque ;;;;;;;x
ct_MOorcguard_2;Orc Guards;Poste de Garde d'Orques;;;;;;;x
ct_MOorcguard_3;Orc Guards;Grand poste de Garde d'orques;;;;;;;x
ct_MOorcguard_4;Orc Guards;Gardes d'élites orques;;;;;;;x
ct_MOorcguard_5;Orc Guards;Grand poste de garde d'élite d'orques;;;;;;;x
ct_MOorcmarketplace_1_desc;What passes for trade among orcs takes place here;Un lieu d'échange pour les orques;;;;;;;x
ct_MOorcmarketplace_2;Orc Marketplace;Marchand Ambulant Orque;;;;;;;x
ct_MOorcmarketplace_3;Orc Marketplace;Petit commerce orque;;;;;;;x
ct_MOorcmarketplace_4;Orc Marketplace;Commerce orque;;;;;;;x
ct_MOorcmarketplace_5;Orc Marketplace;Petit marché orque;;;;;;;x
ct_MOorcmarketplace_6;Orc Marketplace;Marché orque;;;;;;;x
ct_MOorcmarketplace_1;Orc Marketplace;Grand marché orque;;;;;;;x
ct_MOport_1;Port;Port;Hafen;Puerto;;;;;x
ct_MOport_2;Port;Port;Hafen;Puerto;;;;;x
ct_MOport_3;Port;Port;Hafen;Puerto;;;;;x
ct_MOport_4;Port;Port;Hafen;Puerto;;;;;x
ct_MOport_5;Port;Port;Hafen;Puerto;;;;;x
ct_MOport_1_desc;A port that services ships coming in to load or unload cargo.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen.;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;x
ct_MOshipyard_1;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_MOshipyard_2;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_MOshipyard_3;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
ct_MOshipyard_4;City Shipyard;Chantier naval de la ville;Stadt-Werft;Astillero de la Ciudad;;;;;x
tp_shrine_melkor;Shrine of Melkor;Temple de Melkor;;;;;;;x;;;;;;;;;
tp_shrine_melkor_desc;The Shrine of Melkor is a cursed place where the faithful of Melkor give an offering to the fire; prisoners, animals, or ancient trees. Thick black smoke was always seen billowing from the top of the central dome of the temple.;Le Temple de Melkor est un lieu maudit, où les fidèles de Melkor donnent en offrande au feu noir des prisonniers, des animaux, ou des arbres anciens. Une épaisse fumée noire s'échappe du sommet du dôme central du temple.;;;;;;;;;;;;;;;x
ct_dolguldur;Dol Guldur;Dol Guldur;;;;;;;x
ct_isengarduruk;Uruk Pits of Isengard;Fosses d'Uruk d'Isengard;;;;;;;x
ct_numenorean2up;Fortress of Minas Morgul;Forteresse de Minas Morgul;;;;;;;x
ct_moria;Moria;Moria;;;;;;;x
ct_witchking_fortress;Fortress of the Witch King;Forteresse du Roi Sorcier;;;;;;x
ct_Gundabad_Orc;Orc Stronghold;Forteresse Orc;;;;;;x

