#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTTITwrongmarriage.0;@FIXME@ Marriage between different races - Dwarves side;@FIXME@ Marriage between different races - Dwarves side;;;;;;;;;;;;;x
EVTDESCwrongmarriage.0;@FIXME@ Marriage between different races - Dwarves side;@FIXME@ Marriage between different races - Dwarves side;;;;;;;;;;;;;x
EVTOPTAwrongmarriage.0;Revoke it and banish it!;@FIXME@ Revoke it and banish it!;;;;;;;;;;;;;x
EVTOPTBwrongmarriage.0;Actually, I kind of like her...;@FIXME@ Actually, I kind of like her...;;;;;;;;;;;;;x
EVTTITwrongmarriage.1;@FIXME@ Marriage between different races - Elves side;@FIXME@ Marriage between different races - Elves side;;;;;;;;;;;;;x
EVTDESCwrongmarriage.1;@FIXME@ Marriage between different races - Elves side;@FIXME@ Marriage between different races - Elves side;;;;;;;;;;;;;x
EVTOPTAwrongmarriage.1;Revoke it and banish it!;@FIXME@ Revoke it and banish it!;;;;;;;;;;;;;x
EVTOPTBwrongmarriage.1;Actually, I kind of like her...;@FIXME@ Actually, I kind of like her...;;;;;;;;;;;;;x
EVTTITwrongmarriage.2;@FIXME@ Marriage between different races - Orcs side;@FIXME@ Marriage between different races - Orcs side;;;;;;;;;;;;;x
EVTDESCwrongmarriage.2;@FIXME@ Marriage between different races - Orcs side;@FIXME@ Marriage between different races - Orcs side;;;;;;;;;;;;;x
EVTOPTAwrongmarriage.2;Revoke it and banish it!;@FIXME@ Revoke it and banish it!;;;;;;;;;;;;;x
EVTOPTBwrongmarriage.2;Actually, I kind of like her...;@FIXME@ Actually, I kind of like her...;;;;;;;;;;;;;x
EVTTITwrongmarriage.3;@FIXME@ Marriage between different races - Wights side;@FIXME@ Marriage between different races - Wights side;;;;;;;;;;;;;x
EVTDESCwrongmarriage.3;@FIXME@ Marriage between different races - v side;@FIXME@ Marriage between different races - Wights side;;;;;;;;;;;;;x
EVTOPTAwrongmarriage.3;Revoke it and banish it!;@FIXME@ Revoke it and banish it!;;;;;;;;;;;;;x
EVTOPTBwrongmarriage.3;Actually, I kind of like her...;@FIXME@ Actually, I kind of like her...;;;;;;;;;;;;;x
