#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_gondor;Gondor;Gondor;;;;;;;;;;;;x
e_gondor_adj;Gondorian;Gondorien;;;;;;;;;;;;x
e_arnor;Arnor;Arnor;;;;;;;;;;;;x
e_arnor_adj;Arnorian;Arnorien;;;;;;;;;;;;x
e_harad;Harad;Harad;;;;;;;;;;;;x
e_harad_adj;Haradrim;Haradrim;;;;;;;;;;;;x
e_under_the_mountain;Under the Mountain;Sous la Montagne;;;;;;;;;;;;x
e_under_the_mountain;Under the Mountain;Sous la Montagne;;;;;;;;;;;;x
e_rhovanion;Rhovanion;Rhovanion;;;;;;;;;;;;x
e_rhovanion_adj;Rhovaniorim;Rhovaniorim;;;;;;;;;;;;x
e_barad_dur;Mordor;Mordor;;;;;;;;;;;;x
e_barad_dur_adj;Mordorim;Mordorim;;;;;;;;;;;;x
e_steward_gondor;Gondor;Gondor;;;;;;;;;;;;x
e_steward_gondor_adj;Gondorian;Gondorien;;;;;;;;;;;;x
e_rhun;Rhûn;Rhûn;;;;;;;;;;;;x
e_rhun_adj;Rhûnrim;Rhûnrim;;;;;;;;;;;;x
e_lindon;Lindon;Lindon;;;;;;;;;;;;x
e_lindon_adj;Lindonrim;Lindonrim;;;;;;;;;;;;x
e_noldor;Noldor;Noldor;;;;;;;;;;;;x
e_noldor_adj;Noldorim;Noldorim;;;;;;;;;;;;x
e_durins_folk;Durin's Folk;Peuple de Durin;;;;;;;;;;;;x
e_durins_folk_adj;Durin's Folk;Peuple de Durin;;;;;;;;;;;;x
e_gondor_kinstrife;Gondor;Gondor;;;;;;;;;;;;x
e_gondor_kinstrife_adj;Gondorian;Gondorien;;;;;;;;;;;;x
e_reunited_kingdom;Kingdoms of the Dúnedain;Royaumes Numénoréens en Exils;;;;;;;;;;;;x
e_reunited_kingdom_adj;Dúnedain;Dúnedain;;;;;;;;;;;;x
e_isengard;Isengard;Isengard;;;;;;;;;;;;x
e_isengard_adj;Isengardrim;Isengardrim;;;;;;;;;;;;x
e_numenor;Númenor;Númenor;;;;;;;;;;;;x
e_numenor_adj;Númenorean;Númenoréen;;;;;;;;;;;;x
e_valinor;Valinor;Valinor;;;;;;;;;;;;x
e_valinor_adj;Valinor;Valinor;;;;;;;;;;;;x
e_angmar;Angmar;Angmar;;;;;;;;;;;;x
e_angmar_adj;Angmarim;Angmarim;;;;;;;;;;;;x
e_isenvale;Enedhwaith;Enedhwaith;;;Enedhwaith;;;;;;;;;x
e_isenvale_adj;Enedhwaithrim;Enedhwaithrim;;;Enedhwaithrim;;;;;;;;;x
e_anadune;Anadûnê;Anadûnê;;;;;;;;;;;;x
e_anadune_adj;Anadûrim;Anadûrim;;;;;;;;;;;;x
e_all_mountains;the Dwarvish Union;l'Union des Peuples Nains;;;;;;;;;;;;x
e_all_mountains_adj;Khazad;Khazad;;;;;;;;;;;;x
e_silvan_elves;Galadhrimien;;;;;;x
e_silvan_elves_adj;Galadhrim;;;;;;;x
e_anduin;Eotheod;;;;;;;x
e_anduin_adj;Eotheod;;;;;;;x
e_pirates_adj;Pirate;;;;;;;x
