#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mepstring_ascetic;Ascetic;;;;;;;;;;;;;x
mepstring_evildude;Melkor;;;;;;;;;;;;;x
mepstring_evilsidemagic;Dark Power;;;;;;;;;;;;;x
mepstring_powerfulone;Powerful One;;;;;;;;;;;;;x
mepstring_powerfulones;PowerfulOnes;;;;;;;;;;;;;x
mepstring_sorcerer;Sorcerer;;;;;;;;;;;;;x
mepstring_sorcerers;Sorcerers;;;;;;;;;;;;;x
mepstring_hailmelkor;Hail Melkor!;;;;;;;;;;;;;x
mepstring_mahalthemaker;Mahal the Maker;;;;;;;;;;;;;x
mepstring_eruiluvatar;Eru Ilúvatar;;;;;;;;;;;;;x
mepstring_monastery;Sacred Halls;;;;;;;;;;;;;x
mepstring_MORules;the Rules;;;;;;;;;;;;;x
mepstring_penance;Make amends;;;;;;;;;;;;;x
mepstring_sacredgrove;Make amends;;;;;;;;;;;;;x
mepstring_highplace;High Place of Eru;;;;;;;;;;;;;x
mepstring_sacredhall;Sacred Hall;;;;;;;;;;;;;x
mepstring_temple;Temple;;;;;;;;;;;;;x
mepstring_pray;Rites;;;;;;;;;;;;;x
mepstring_type;Member of your Race;;;;;;;;;;;;;x
mepstring_sacredworks;Sacred Works;;;;;;;;;;;;;x
mepstring_arda;Arda;;;;;;;;;;;;;x
