#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
ca_town_1;Castle Town;Bourg fortifié;Burgstädtchen;Pueblo del castillo;;;;;;x
ca_town_2;Castle Town;Bourg fortifié;Burgstädtchen;Pueblo del castillo;;;;x
ca_town_3;Castle Town;Bourg fortifié;Burgstädtchen;Pueblo del castillo;;;;x
ca_town_4;Castle Town;Bourg fortifié;Burgstädtchen;Pueblo del castillo;;;;x
ca_town_5;Castle Town;Bourg fortifié;Burgstädtchen;Pueblo del castillo;;;;x
ca_town_6;Castle Town;Bourg fortifié;Burgstädtchen;Pueblo del castillo;;;;x
tp_barracks_1;Militia Quarters;Terrain d'exercice;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;x
tp_barracks_2;Militia Quarters;Terrain d'exercice;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;x
tp_barracks_3;Militia Quarters;Terrain d'exercice;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;x
tp_barracks_4;Militia Quarters;Terrain d'exercice;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;x
tp_barracks_5;Militia Quarters;Terrain d'exercice;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;x
tp_barracks_6;Militia Quarters;Terrain d'exercice;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;x
ca_keep_1;Keep;Tour;Bergfried;Torreón;;;;x
ca_keep_2;Keep;Tour;Bergfried;Torreón;;;;x
ca_keep_3;Keep;Tour;Bergfried;Torreón;;;;x
ca_keep_4;Keep;Tour;Bergfried;Torreón;;;;x
ca_keep_5;Keep;Tour;Bergfried;Torreón;;;;x
ca_keep_6;Keep;Tour;Bergfried;Torreón;;;;x
ca_militia_barracks_1;Militia Training Ground;Camp des miliciens;Miliz-Übungsplatz;Campo de entrenamiento de la milicia;;;;x
ca_militia_barracks_2;Militia Training Ground;Camp des miliciens;Miliz-Übungsplatz;Campo de entrenamiento de la milicia;;;;x
ca_militia_barracks_3;Militia Training Ground;Camp des miliciens;Miliz-Übungsplatz;Campo de entrenamiento de la milicia;;;;x
ca_militia_barracks_4;Militia Training Ground;Camp des miliciens;Miliz-Übungsplatz;Campo de entrenamiento de la milicia;;;;x
ca_training_grounds_1;Training Grounds;Champ de tir à l'arc;Übungsplätze;Campo de entrenamiento;;;;x
ca_training_grounds_2;Training Grounds;Champ de tir à l'arc;Übungsplätze;Campo de entrenamiento;;;;x
ca_training_grounds_3;Training Grounds;Champ de tir à l'arc;Übungsplätze;Campo de entrenamiento;;;;x
city_barracks;Militia Barracks;Quartier de la milice;Milizkaserne;Cuartel de la milicia;;;;x
city_barracks_2;Enlarged Militia Barracks;Garnison de la milice;Vergrößerte Milizkaserne;Cuartel de la milicia ampliado;;;;x
city_stable;Militia Stable;Écurie de la milice;Milizstall;Establo de la milicia;;;;x
ct_marketplace_1;Town Market;Place de marché;Stadtmarkt;Mercado de la villa;;;;x
ct_marketplace_2;City Guild Hall;Guilde des marchands;Stadt-Rathaus;Ayuntamiento de la villa;;;;x
ct_marketplace_3;Toll Booth;Barrière de péage;Zollhaus;Casa de peaje;;;;x
ct_marketplace_4;Court;Tribunal;Gericht;Tribunal;;;;x
ct_marketplace_5;Assay Office;Hôtel des monnaies;Kontrollamt;Casa de tasación;;;;x
ct_marketplace_6;Fair;Foire;Messe;Feria;;;;x
tp_monastery_1;Sacred Place;Église;Kirche;Iglesia;;;;x
