#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;X
LOADING_TIP_0;One Ring to rule them all, One Ring to find them, \n\nOne Ring to bring them all, and in the darkness bind them.;;;;;X;;;;;;;;
LOADING_TIP_1;“It's a dangerous business, Frodo, going out your door. You step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.”;;;;;;x;;;;;;;;
LOADING_TIP_2;That there's some good in this world, Mr. Frodo and it's worth fighting for. - Sam Gamgee;Il y a du bon en ce monde, Monsieur Frodon, il faut se battre pour cela. - Sam Gamegie;;;;X;;;;;;;;
LOADING_TIP_3;Even the smallest person can change the course of the future. - Galadriel;Même la plus petite personne peux changer le cours de l'avenir. - Galadriel;;;;X;;;;;;;;
LOADING_TIP_4;We swears, to serve the master of the Precious. We will swear on the Precious. - Gollum;Nous jurons de servir le Maître du précieux. Et nous le jurons. Oh ! Oui sur le précieux. - Gollum;;;;X;;;;;;;;
LOADING_TIP_5;I am Gandalf the White. And I come back to you now at the turn of the tide. - Gandalf the White;;;;;;X
LOADING_TIP_6;Oh, it's quite simple. If you are a friend, you speak the password, and the doors will open. - Gandalf the Grey;;;;;;X
LOADING_TIP_7;For the time will soon come when Hobbits will shape the fortunes of all. - Galadriel;Bientôt viendra un moment où les hobbits détermineront le sort de tous. - Galadriel;;;;X;;;;;;;;
LOADING_TIP_8;There is no curse in Elvish, Entish, or the tongues of Men for this treachery. - Treebeard;Il n'y a pas de jurons en elfique, entique ou langage des Hommes pour qualifier cette traîtrise. - Sylvebarbe;;;;X;;;;;;;;
LOADING_TIP_9;A day may come when the courage of men fails but it is not this day! - Aragorn;Un jour viendra où le courage des hommes vacillera... Mais pas aujourd'hui! - Aragorn;;;;X;;;;;;;;
LOADING_TIP_10;The Ring has awoken, it heards its masters call - Gandalf the Grey;L'anneau s'est réveillé, il a entendu l'appel de son maître. - Gandalf;;;;X;;;;;;;;
LOADING_TIP_11;Your time will come. You will face the same Evil, and you will defeat it. - Arwen;Votre temps viendra. Vous ferez face à ce même mal, et vous le vaincrez. Arwen;;;;X;;;;;;;;
LOADING_TIP_12;The board is set, the pieces are moving. We come to it at last, the great battle of our time. - Gandalf the White;;;;;;X;;;;;;;;
LOADING_TIP_13;But the fat Hobbit, he knows. Eyes always watching. - Gollum;;;;;;X;;;;;;;;
LOADING_TIP_14;I thought up an ending for my book. And he lives happily ever after, till the end of his days. - Bilbo Baggins;;;;;;X;;;;;;;;
LOADING_TIP_15;You are the luckiest, the canniest, and the most reckless man I ever knew. Bless you, laddie. - Gimli;;;;;;;;X
LOADING_TIP_16;One does not simply walk into Mordor. - Boromir;;;;;;;;X
LOADING_TIP_17;It's my Precious! - Gollum;;;;;;X
LOADING_TIP_18;You shall not pass! - Gandalf the Grey;;;;;;X
LOADING_TIP_19;Many live that deserve death, and some that die deserve life. Can you give it to them? Be not too eager to deal out death in judgement. Even the very wise cannot see all ends. - Gandalf;;;;;;X
